Term,Definition
🛡️ Perfect Forward Secrecy (PFS),Session keys not compromised if long-term key compromised - Uses ephemeral keys
🏦 Key escrow,Third party holds decryption keys - Recovery option - Privacy concerns
🌫️ Code obfuscation,Make code difficult to understand - Protect intellectual property - Security through obscurity (not recommended as sole security)
🖼️ Steganography,Hide data within other data - Images, audio, video files - Not encryption, just hiding
🎫 Tokenization,Replace sensitive data with token - Token has no meaning outside system - Common in payment processing
🎭 Data masking,Hide original data - Show only necessary parts (e.g., last 4 digits of SSN) - Protects PII
📒 Distributed ledger,Decentralized database - Multiple copies across network - No single point of control
⛓️ Blockchain characteristics,Immutable records - Transparent and verifiable - Consensus mechanisms
🧱 Blocks,Container for data - Hash of previous block - Timestamp - Creates chain
📜 Smart contracts,Self-executing contracts - Code-based agreements - Automated enforcement
💎 Blockchain applications,Cryptocurrencies (Bitcoin, Ethereum) - Supply chain tracking - Digital identity - Voting systems
📜 Digital certificates,X.509 standard - Bind public key to identity - Issued by Certificate Authority
📄 Certificate contents,Subject name - Public key - Issuer information - Validity period - Serial number - Digital signature
🏷️ Certificate types,Domain Validation (DV) - Organization Validation (OV) - Extended Validation (EV) - Wildcard certificates - Subject Alternative Name (SAN)
📋 Certificate formats,PEM (Privacy Enhanced Mail) - DER (Distinguished Encoding Rules) - PFX/P12 (PKCS#12) - CER, CRT
📌 Certificate pinning,Associate certificate with host - Prevent man-in-the-middle attacks - Mobile apps
🔗 Certificate chaining,Root CA → Intermediate CA → End certificate - Chain of trust
